axis,channel,demeaned,ground_truth_available,high_k_axis_anisotropy,high_k_energy,low_k_energy,mid_k_energy,model,oracle_available,parseval_relative_error,retention_vs_canonical_initial_high_k_energy,retention_vs_canonical_initial_high_k_energy_undefined,retention_vs_canonical_initial_low_k_energy,retention_vs_canonical_initial_low_k_energy_undefined,retention_vs_canonical_initial_mid_k_energy,retention_vs_canonical_initial_mid_k_energy_undefined,retention_vs_canonical_initial_total_nonzero_mode_energy,retention_vs_canonical_initial_total_nonzero_mode_energy_undefined,spectral_centroid,step,total_nonzero_mode_energy
r,Bcc3,False,False,76153827.13888958,0.05707925268001533,3.2746724911145266,0.0951311646681759,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.04854294608247966,25,2.415237053556268
r,Bcc3,True,False,76153827.13888957,0.057079252680015326,3.2745458470001605,0.0951311646681759,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.04854294608247966,25,2.415237053556268
combined,Bcc3,False,False,76153827.13888958,0.1473713135253482,3.0606101401454415,0.2189014547919285,persistence,False,2.591796811927133e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.06650564811925985,25,3.4267562643483513
combined,Bcc3,True,False,76153827.13888957,0.1473713135253482,3.060483496031075,0.2189014547919285,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.06650564811925985,25,3.426756264348351
phi,rho,False,False,34427501830.798035,9.584064998950876e-09,38721.96700867841,1.0033478562911773e-07,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.058191155857484106,25,1.9548187836488454e-06
phi,rho,True,False,34427501830.798035,9.584064998950876e-09,35055.62323820785,1.0033478562911773e-07,persistence,False,2.0755465006910487e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.058191155857484106,25,1.9548187836488454e-06
theta,rho,False,False,34427501830.798035,329.9554152978686,34728.14957209557,3663.8620213948925,persistence,False,1.8790258285515498e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.05260766111245821,25,31053.559299309432
theta,rho,True,False,34427501830.798035,329.9554152978686,31061.805801625014,3663.8620213948925,persistence,False,2.0755465006910487e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.05260766111245821,25,31053.559299309436
r,rho,False,False,34427501830.798035,317.8736261513182,35292.739774181486,3111.3536084555276,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.06892635702704973,25,24942.036709952612
r,rho,True,False,34427501830.798035,317.87362615131826,31626.39600371093,3111.353608455527,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.06892635702704973,25,24942.036709952612
combined,rho,False,False,34427501830.798035,619.4146538736177,31757.78910536863,6344.763249546082,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.07538466489276809,25,35055.62323831777
combined,rho,True,False,34427501830.798035,619.4146538736177,28091.44533489807,6344.763249546082,persistence,False,2.0755465006910487e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.07538466489276809,25,35055.62323831778
phi,press,False,False,16706621.718365975,6.255108248810196e-08,20.643747406836173,4.077253736345722e-07,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.07114333874275001,25,5.087030404251864e-06
phi,press,True,False,16706621.718365975,6.255108248810196e-08,19.578846110824475,4.077253736345722e-07,persistence,False,1.8145674026731815e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.07114333874275001,25,5.087030404251864e-06
theta,press,False,False,16706621.718365975,0.8081541633061233,17.642476017022595,2.1931176967839026,persistence,False,3.4419270182420084e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.07684148424712184,25,16.693353959464336
theta,press,True,False,16706621.718365975,0.8081541633061232,16.5775747210109,2.193117696783902,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.07684148424712182,25,16.693353959464336
r,press,False,False,16706621.718365975,1.0450172732030258,17.48064153318926,2.118089070720334,persistence,False,1.7209635091210042e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.08979239780807671,25,16.521853610724584
r,press,True,False,16706621.718365975,1.0450172732030258,16.415740237177566,2.118089070720334,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.08979239780807671,25,16.521853610724584
combined,press,False,False,16706621.718365975,1.7670797280314285,15.194464502841228,3.6822036462399694,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.10919517530543238,25,19.578846581100922
combined,press,True,False,16706621.718365975,1.7670797280314285,14.12956320682953,3.6822036462399694,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.10919517530543235,25,19.578846581100926
