channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
Bcc2,Stage AG,0.012411881427678743,0.03382536437642941,0.633059934268506,182,183
Bcc3,Stage AG,0.6681198347338694,0.6470771072658812,-0.03251965991642147,182,183
rho,Stage AG,2.552633400396016,1.0840836435478993,-1.3546461710666242,182,183
press,Stage AG,1091.8647289274859,0.30070379998264796,-3630.030698616019,182,183
vel1,Stage AG,0.05625695632897632,0.06015339074111023,0.06477497551058242,182,183
vel2,Stage AG,0.0011781333127782617,0.0005925859806956357,-0.9881221479375077,182,183
vel3,Stage AG,0.026836056465462697,0.026743772374747052,-0.0034506758965233697,182,183
Bcc1,Stage AD,0.3895126742934991,0.15396988382680954,-1.5297978059893582,183,184
Bcc2,Stage AD,0.11588920795751219,0.1169744530386512,0.009277624754359115,183,184
Bcc3,Stage AD,1.042699851798041,1.0526231977405978,0.009427253706603356,183,184
rho,Stage AD,2.614955159367283,0.28570616341062666,-8.152603248565486,183,184
press,Stage AD,4.04498235371116,0.07594488176478115,-52.26207980992591,183,184
vel1,Stage AD,0.08551205018963812,0.06715655222275982,-0.27332400725386696,183,184
vel2,Stage AD,0.0014988796165469386,0.0011644946976009883,-0.28715022888024055,183,184
vel3,Stage AD,0.02196665630616765,0.021119375224856907,-0.04011866223739036,183,184
Bcc1,Stage AG,1.7445755542037051,0.15396988382680954,-10.330628502428837,183,184
Bcc2,Stage AG,0.12165286996965038,0.1169744530386512,-0.03999520245205446,183,184
Bcc3,Stage AG,1.0241117018135089,1.0526231977405978,0.027086136794521876,183,184
rho,Stage AG,3.6894083446018895,0.28570616341062666,-11.913296306105044,183,184
press,Stage AG,0.956919723069054,0.07594488176478115,-11.600187146684297,183,184
vel1,Stage AG,0.0719498626352026,0.06715655222275982,-0.07137517120508607,183,184
vel2,Stage AG,0.002299508090106911,0.0011644946976009883,-0.9746831779004224,183,184
vel3,Stage AG,0.016513990974465417,0.021119375224856907,0.2180644172168068,183,184
Bcc1,Stage AD,0.6577434149015223,0.17013793867712,-2.8659420703912355,184,185
Bcc2,Stage AD,0.09516434572317445,0.07869825706209105,-0.20923066502085352,184,185
Bcc3,Stage AD,0.6288652388051296,0.5071802979378004,-0.23992442404032888,184,185
rho,Stage AD,3.0038078417878933,0.586280879062439,-4.123496175743415,184,185
press,Stage AD,1.4123317559551387,0.13777693651868195,-9.250857593742714,184,185
vel1,Stage AD,0.08354307820371694,0.06077590385828348,-0.3746085685294238,184,185
vel2,Stage AD,0.0014459370662952785,0.0013426624912132462,-0.07691774795072459,184,185
vel3,Stage AD,0.04269957336281606,0.04498759053450888,0.050858851174475306,184,185
Bcc1,Stage AG,1.8930699820653825,0.17013793867712,-10.126677546375852,184,185
Bcc2,Stage AG,0.09464569215125465,0.07869825706209105,-0.2026402576690034,184,185
Bcc3,Stage AG,0.6065650621790412,0.5071802979378004,-0.19595549086851372,184,185
rho,Stage AG,4.489342444388618,0.586280879062439,-6.657323656142132,184,185
press,Stage AG,1.5202577264098698,0.13777693651868195,-10.034196033265186,184,185
vel1,Stage AG,0.06282474520699458,0.06077590385828348,-0.03371140894076308,184,185
vel2,Stage AG,0.005890664741310283,0.0013426624912132462,-3.3873011869032004,184,185
vel3,Stage AG,0.05391752422531413,0.04498759053450888,-0.19849770980633674,184,185
Bcc1,Stage AD,0.9711676618649103,0.13323551479029205,-6.289105036247232,185,186
Bcc2,Stage AD,0.11736713268066228,0.0789229373850692,-0.48711054820503974,185,186
Bcc3,Stage AD,0.6581393346870957,0.6993243756522779,0.05889261464219353,185,186
rho,Stage AD,2.6195350472111616,0.7947719157293114,-2.295958243324919,185,186
press,Stage AD,71.55711357582979,0.16972750887683932,-420.59997545097025,185,186
vel1,Stage AD,0.10445350198694603,0.0683314572291024,-0.5286298027676077,185,186
vel2,Stage AD,0.002610793928211489,0.0035634267401994687,0.26733615742431527,185,186
vel3,Stage AD,0.03349453344713481,0.02519771482523366,-0.3292686927940185,185,186
Bcc1,Stage AG,2.0733757180971315,0.13323551479029205,-14.561734582258724,185,186
Bcc2,Stage AG,0.08501369885605704,0.0789229373850692,-0.07717352740269523,185,186
Bcc3,Stage AG,0.5088398505095092,0.6993243756522779,0.27238364881118127,185,186
