all_cross_channel,channel_in,channel_out,cross_channel,epsilon,maximum_gain,maximum_phase_correlation,mean_gain,mean_phase_correlation,median_gain,median_phase_correlation,minimum_gain,minimum_phase_correlation,mode,state_count
True,Bcc3,Bcc1,True,0.001,0.6767695949536321,0.035621340449595064,0.6170962522683294,-0.015373609437416641,0.6364052675011913,-0.019855229348478432,0.4948455092218822,-0.037634120235852705,inner_localized,9
True,Bcc3,Bcc2,True,0.001,1.3685853104940242,0.019333064163358178,1.2859575455295902,0.0017522688882516224,1.3030072035197737,0.00652660182019103,1.0753963634608008,-0.023112223054992394,inner_localized,9
False,Bcc3,Bcc3,False,0.001,1.6965583381985627,0.0606049357652596,1.6028808383539488,0.04563219583624531,1.6260895506196946,0.05175301640758474,1.4108386880659276,0.006573410053564335,inner_localized,9
True,Bcc3,press,True,0.001,0.7489747851475945,0.01499088192823244,0.6841179209090689,-0.0026860824383525056,0.7104510492355257,0.0011880129399785629,0.5398890101843482,-0.024067168329921732,inner_localized,9
True,Bcc3,rho,True,0.001,0.9690008741021677,0.03363521870271412,0.8894690076855889,0.019857591149333678,0.9287756042942765,0.018543768359860272,0.6984304605979001,0.014721269094529666,inner_localized,9
True,Bcc3,vel1,True,0.001,0.8818964887795739,-0.004296683545185507,0.8138884989751478,-0.017344503296229906,0.8392424487616091,-0.012928145019423642,0.6567265782789337,-0.035560790825829434,inner_localized,9
True,Bcc3,vel2,True,0.001,1.558414671326558,0.048132371905404404,1.4631565356811471,0.013040491166281521,1.5216084433560635,0.016309532990662547,1.2013414622152723,-0.007539450366556267,inner_localized,9
True,Bcc3,vel3,True,0.001,1.4021217466665354,0.010241039531915828,1.304467517403812,-0.010423775653689127,1.333613594389772,-0.006450838277150898,1.1131301589685774,-0.03500872981469903,inner_localized,9
True,press,Bcc1,True,0.001,0.6855492404430652,0.03183231979332037,0.6075789462739264,0.010528312989632298,0.6208356988928139,0.009784513699995097,0.4557836625447072,0.0006399837375336417,inner_localized,9
True,press,Bcc2,True,0.001,1.3746505602985954,0.0018715169071060777,1.2654198897466329,-0.03137942448623052,1.3114374465607075,-0.031933635241480324,0.984687744658455,-0.06187643941088463,inner_localized,9
True,press,Bcc3,True,0.001,1.7535722108824379,0.023259528064169442,1.593654608348287,0.006956840575200609,1.6333261509732098,0.007222494103956939,1.2657042304101127,-0.01312469636169969,inner_localized,9
False,press,press,False,0.001,0.7593700742346092,0.10108192513427414,0.674543480547874,0.07309729942481179,0.6996080696349185,0.0713987044471291,0.5150918671543518,0.05979289773752483,inner_localized,9
True,press,rho,True,0.001,0.9699223023606719,0.022153968236683422,0.8684427527320702,0.014917705872985305,0.8987548290941018,0.015479562408500055,0.6638876595430171,0.007336436994960625,inner_localized,9
True,press,vel1,True,0.001,0.9021045507254929,0.0731024248091343,0.8070802242472571,0.06217206791824063,0.8215808166015635,0.06300496445847227,0.5933298226195468,0.05211221413986876,inner_localized,9
True,press,vel2,True,0.001,1.6141444214668526,0.009671156769735609,1.456922260339395,-0.009561288968975588,1.5107024616421736,-0.013060840246706444,1.0997311532337162,-0.018951667728341393,inner_localized,9
True,press,vel3,True,0.001,1.4476751951977727,0.14852477033590908,1.2935970070784162,0.13161009005951738,1.3194086146002182,0.1343645553228324,1.02194208037508,0.10591295618104567,inner_localized,9
True,rho,Bcc1,True,0.001,0.6817819286454874,0.026103476657594393,0.6116908027411648,-0.006580332446668837,0.6338642617383159,-0.01011961360424594,0.45483842222919596,-0.01791348107141789,inner_localized,9
True,rho,Bcc2,True,0.001,1.3658082107191212,0.02564656322110521,1.2625484556816426,0.0010421870244322756,1.3019792617547072,0.007361035314381821,0.9409791792022693,-0.04025852649281917,inner_localized,9
True,rho,Bcc3,True,0.001,1.7420177305947382,0.0170005716941509,1.5934738870545562,0.007654555904638455,1.6593793427574244,0.009570939289745773,1.222852541378292,-0.004004652068126877,inner_localized,9
True,rho,press,True,0.001,0.755991265534834,0.07297763767619177,0.6726482646586788,0.034449534666428624,0.6988529383452498,0.029254580473737628,0.5007177889774912,0.01737973636033373,inner_localized,9
False,rho,rho,False,0.001,0.9685596208905948,0.039686397077094024,0.8676770647969086,0.02069532596500237,0.9058587495004385,0.018701815570732087,0.6465002683699291,0.01172769500573587,inner_localized,9
True,rho,vel1,True,0.001,0.9023998917579586,0.016461194559084878,0.8069330736160124,-0.0013950352941627725,0.8381929301138479,0.000675826811137795,0.5846473327068885,-0.014949092922729754,inner_localized,9
True,rho,vel2,True,0.001,1.607687092285579,0.021330530672362662,1.4536096988948668,0.00800611123598597,1.511902064794425,0.00560891428720334,1.0672074000362992,0.00011868526485164094,inner_localized,9
True,rho,vel3,True,0.001,1.4362013003946126,0.1083277160106336,1.286471211766143,0.06361043668079074,1.3232397629761554,0.06653232084170926,0.9908816808987666,0.02244526523840831,inner_localized,9
True,vel1,Bcc1,True,0.001,0.6752870485357672,0.01222607795989254,0.6034297640513571,0.0065654934416230215,0.6240274682061355,0.009664717815724068,0.43678018073917513,-0.018655210161307632,inner_localized,9
True,vel1,Bcc2,True,0.001,1.3718852622440614,-0.08147106500171825,1.2659476889075785,-0.12179081999774174,1.312115151412198,-0.11241046086559718,0.9546707841557732,-0.17883983391355993,inner_localized,9
True,vel1,Bcc3,True,0.001,1.7079802577483807,0.020872846216060056,1.5734095319157557,0.002083808425954318,1.627627946593043,0.001419408024279528,1.1694254380122089,-0.006001806905973366,inner_localized,9
True,vel1,press,True,0.001,0.7451844063511137,0.07417139190463763,0.6671708690096128,0.0373577287389421,0.6920562799010443,0.035290488772921826,0.4861564329955836,0.01684653619564627,inner_localized,9
True,vel1,rho,True,0.001,0.9530661674181322,0.020839127380793035,0.860995410210283,0.001241803264821383,0.898481839804759,-0.0023937656860575393,0.6427493478506415,-0.007422658276481247,inner_localized,9
False,vel1,vel1,False,0.001,0.8842029502512783,0.07457622786454945,0.8022986532627735,0.0556435810692035,0.8373005293190795,0.05741158858526146,0.5819346059521798,0.035040022231236645,inner_localized,9
True,vel1,vel2,True,0.001,1.585194801401782,-0.011762303592332117,1.4447751906380168,-0.03285164104431945,1.5056731406255448,-0.03408343229298439,1.081835453619686,-0.05075217783809039,inner_localized,9
True,vel1,vel3,True,0.001,1.4051100853151133,0.06314590314121854,1.2721525592894887,0.04154173065085476,1.3117088861291937,0.04275304815890647,0.9768276200787794,0.01279357271914935,inner_localized,9
True,vel2,Bcc1,True,0.001,0.7025645794012891,0.03553544453640863,0.6257799607649092,-0.011250868457660908,0.640098252302304,-0.014888715096180845,0.476875124983497,-0.02787180130615306,inner_localized,9
True,vel2,Bcc2,True,0.001,1.458237734927996,0.27437340994270554,1.36675106353733,0.2200566598067428,1.4091168289850253,0.2094805966575128,1.116509384900891,0.19903050897399954,inner_localized,9
True,vel2,Bcc3,True,0.001,1.79340885838323,0.017694273415628868,1.6482288097941828,-0.004362943412868252,1.6942643937030073,0.0012188879658161936,1.3479445784058917,-0.05865197904444391,inner_localized,9
True,vel2,press,True,0.001,0.7750517591864919,0.01715917348967514,0.6922651743252183,-0.0018788581077662113,0.7195518445701506,0.003228559005147335,0.531873973123668,-0.04209908601605119,inner_localized,9
