channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
vel1,Differential LocalNO,0.09096672190487493,0.043784566524027915,-1.0775978644199795,169,170
vel2,Differential LocalNO,0.004760229735067242,0.0007642201260250503,-5.2288725106294915,169,170
vel3,Differential LocalNO,0.06165941874023769,0.03500752196997432,-0.7613191471570735,169,170
Bcc1,Index-space DISCO3D LocalNO,0.8997658866601131,0.09013396715273558,-8.982539491859091,169,170
Bcc2,Index-space DISCO3D LocalNO,0.29846153828141775,0.11103621752754252,-1.687965646951045,169,170
Bcc3,Index-space DISCO3D LocalNO,0.5615519078172089,0.461944859701628,-0.21562540641737504,169,170
rho,Index-space DISCO3D LocalNO,8.309948633868059,0.5575812287350893,-13.903565983954909,169,170
press,Index-space DISCO3D LocalNO,6350314001.122744,0.3050061960186043,-20820278681.913696,169,170
vel1,Index-space DISCO3D LocalNO,0.10165671716127374,0.043784566524027915,-1.321747712301479,169,170
vel2,Index-space DISCO3D LocalNO,0.005728611292342901,0.0007642201260250503,-6.496022542796947,169,170
vel3,Index-space DISCO3D LocalNO,0.03153972943386701,0.03500752196997432,0.0990584977446165,169,170
Bcc1,Anisotropic spherical DISCO3D LocalNO,2.4310337634209462,0.09013396715273558,-25.971338777327563,169,170
Bcc2,Anisotropic spherical DISCO3D LocalNO,0.1484705334669875,0.11103621752754252,-0.33713608742264123,169,170
Bcc3,Anisotropic spherical DISCO3D LocalNO,0.4319474015217234,0.461944859701628,0.06493731351243981,169,170
rho,Anisotropic spherical DISCO3D LocalNO,5.124455610072018,0.5575812287350893,-8.190509554450374,169,170
press,Anisotropic spherical DISCO3D LocalNO,20.889124150613558,0.3050061960186043,-67.48754032963775,169,170
vel1,Anisotropic spherical DISCO3D LocalNO,0.060583932427495046,0.043784566524027915,-0.38368236200872397,169,170
vel2,Anisotropic spherical DISCO3D LocalNO,0.00934657574416281,0.0007642201260250503,-11.230214078209764,169,170
vel3,Anisotropic spherical DISCO3D LocalNO,0.026899380185516533,0.03500752196997432,0.23161141743800318,169,170
Bcc1,Persistence,0.013635605223830297,0.10988213433979097,0.8759069861014475,170,171
Bcc2,Persistence,0.061771085377857596,0.061770907448254454,-2.880475785227432e-06,170,171
Bcc3,Persistence,0.6808535749889313,0.6808535498208844,-3.696543382503137e-08,170,171
rho,Persistence,1.186239781306879,1.1862417920402248,1.6950451073860506e-06,170,171
press,Persistence,0.10861061371647729,0.1086162587943719,5.197267846701603e-05,170,171
vel1,Persistence,0.031238335205372066,0.04329899649797929,0.2785436677076356,170,171
vel2,Persistence,0.0017408316966401175,0.0018342346927684957,0.05092205293936547,170,171
vel3,Persistence,0.014807337961471281,0.014807329083590615,-5.995598948427272e-07,170,171
Bcc1,FNO,1.2208770158518123,0.10988213433979097,-10.110787237500022,170,171
Bcc2,FNO,0.17261833088166156,0.061770907448254454,-1.7944923915236974,170,171
Bcc3,FNO,2.2609464225358815,0.6808535498208844,-2.3207529330363044,170,171
rho,FNO,41359.283192737836,1.1862417920402248,-34864.81190298796,170,171
press,FNO,0.7861832021243348,0.1086162587943719,-6.238172358824349,170,171
vel1,FNO,0.14613654908516036,0.04329899649797929,-2.375056257758315,170,171
vel2,FNO,0.0035639302660848146,0.0018342346927684957,-0.9430066829155919,170,171
vel3,FNO,0.04401813243793085,0.014807329083590615,-1.9727260189490528,170,171
Bcc1,3D CNN/U-Net,0.3846215953419962,0.10988213433979097,-2.5003105614295977,170,171
Bcc2,3D CNN/U-Net,0.09717862205820559,0.061770907448254454,-0.5732102064327322,170,171
Bcc3,3D CNN/U-Net,0.6912987953941898,0.6808535498208844,-0.015341398419753016,170,171
rho,3D CNN/U-Net,1.5764356822143657,1.1862417920402248,-0.3289328472427564,170,171
press,3D CNN/U-Net,231.03488733926417,0.1086162587943719,-2126.0746194329017,170,171
vel1,3D CNN/U-Net,0.07438822684155028,0.04329899649797929,-0.718012722189113,170,171
vel2,3D CNN/U-Net,0.006050957837941525,0.0018342346927684957,-2.2989005506206697,170,171
vel3,3D CNN/U-Net,0.024410212465252563,0.014807329083590615,-0.6485223180663824,170,171
Bcc1,Differential LocalNO,0.9610329314029459,0.10988213433979097,-7.746034441150574,170,171
Bcc2,Differential LocalNO,0.08886542229748697,0.061770907448254454,-0.4386290564361486,170,171
Bcc3,Differential LocalNO,0.7823391302614893,0.6808535498208844,-0.14905640202258352,170,171
