clipping_fraction,cumulative_runtime_seconds,differential_gradient_norm_mean,disco_gradient_norm_mean,disco_gradient_norm_min,disco_weight_norm,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate_end,learning_rate_start,microbatches_seen,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,spectral_gradient_norm_mean,train_loss_max,train_loss_mean,train_loss_min
1.0,3726.9599825409978,46.368999298129765,60.024705488057364,0.9556049704551697,16.3634090423584,126,28.981605744000262,648.0830078125,906.0,0.9999999332995642,1006.181396484375,117.46060260704586,0.0009949428439569193,0.0009951342771481978,21168,168,0,5292,42,16.23001280426979,332.4737548828125,15.857196193055383,0.06873242557048798
1.0,3756.2741181209976,40.7197406178429,68.09044060536793,0.6494721174240112,16.34690284729004,127,29.314135579999856,648.0830078125,906.0,0.9999999318804059,1661.7987060546875,118.85076130004157,0.0009947429318128038,0.000994938128946896,21336,168,0,5334,42,21.250207528471947,347.64727783203125,14.736098464534042,0.06111321598291397
1.0,3785.678168364998,40.17482298186847,69.82126030183974,1.3767563104629517,16.33812713623047,128,29.404050244000246,648.0830078125,906.0,0.9999999262037731,1749.4605712890625,126.61641720930736,0.000994539165463023,0.0009947381250177427,21504,168,0,5376,42,22.864611468144826,384.22564697265625,15.156550989841067,0.08174846321344376
1.0,3815.1237126889982,46.064239741790864,77.25798063618797,1.9017913341522217,16.325536727905273,129,29.445544324000366,648.0830078125,906.0,0.999999938976197,2518.176513671875,141.7268669605255,0.000994331546496588,0.0009945342669204086,21672,168,0,5418,42,23.776784499486286,479.8121337890625,15.843488930635864,0.06365562975406647
1.0,3844.5800005659985,50.350115636984505,86.97292533942631,0.9850189685821533,16.31298828125,130,29.45628787700025,648.0830078125,906.0,0.9999999361378806,2904.333251953125,155.7830703201748,0.0009941200765325531,0.0009943265562446198,21840,168,0,5460,42,27.114182482163113,587.9553833007812,16.335062404695368,0.0686369314789772
1.0,3873.598306101999,40.47587141536531,68.86219794409615,1.9972212314605713,16.297134399414062,131,29.018305536000298,648.0830078125,906.0,0.9999999403953552,2349.2412109375,128.38143474147432,0.0009939047572200036,0.0009941149946101461,22008,168,0,5502,42,21.50642659976369,506.53997802734375,15.486638711321921,0.06687827408313751
1.0,3903.137749471999,43.487022570201326,83.9403062178975,1.7783113718032837,16.28910255432129,132,29.5394433700003,648.0830078125,906.0,0.9999999361378806,3030.409912109375,148.50124611173356,0.0009936855902380427,0.0009938995836667878,22176,168,0,5544,42,26.580535658768245,682.159912109375,15.831206149443807,0.0541459284722805
1.0,3932.4129740579992,43.99671588909058,77.5622163045974,2.2597856521606445,16.27928924560547,133,29.27522458600015,648.0830078125,906.0,0.9999999446528298,1597.0994873046875,140.7784302461715,0.0009934625772957785,0.0009936803250943623,22344,168,0,5586,42,24.42467648358572,399.7204895019531,15.120855306541282,0.06603487581014633
1.0,3961.6764351389993,43.45573291892097,66.67278571355911,1.0144010782241821,16.261810302734375,134,29.26346108100006,648.0830078125,906.0,0.9999999091738746,1042.2628173828125,125.32023794310433,0.0009932357201323109,0.0009934572206026925,22512,168,0,5628,42,20.54644173951376,281.2272033691406,14.581405430366951,0.0635216012597084
1.0,3990.8996435399995,41.76747415179298,74.20015370845795,1.5204660892486572,16.25282096862793,135,29.223208401000193,648.0830078125,906.0,0.9999999191079821,2277.616943359375,136.51237173875174,0.0009930050205167172,0.0009932302719315913,22680,168,0,5670,42,23.26826382251013,403.291015625,14.73696638528435,0.058258116245269775
1.0,4020.139402301,41.87081378840265,64.17332871613048,0.7556111216545105,16.241458892822266,136,29.239758761000303,648.0830078125,906.0,0.9999998992397672,1449.271728515625,121.77525818915595,0.00099277048024804,0.0009929994808508507,22848,168,0,5712,42,18.58078686396281,357.5137939453125,14.506126201356805,0.05554638057947159
1.0,4049.234859108,49.742664216529754,87.12437566405251,1.1819044351577759,16.227705001831055,137,29.09545680700012,648.0830078125,906.0,0.9999999262037731,2586.44677734375,154.94417053744905,0.0009925321011552708,0.0009927648491602258,23016,168,0,5754,42,27.52294276158015,473.4222412109375,15.91564670825998,0.05582204461097717
1.0,4078.286126956,39.691982690777095,74.03757144439788,0.9415746927261353,16.214359283447266,138,29.051267847999952,648.0830078125,906.0,0.9999999162696657,2503.31884765625,134.78192189477738,0.0009922898850973382,0.0009925263786894215,23184,168,0,5796,42,22.818273253384092,459.89459228515625,14.361326333445808,0.06438788771629333
1.0,4109.339047334,38.00668338650749,55.66664535800616,0.9427964091300964,16.20285415649414,139,31.052920377999726,648.0830078125,906.0,0.9999999219462985,767.6022338867188,103.86590368690945,0.0009920438339630913,0.0009922840712980783,23352,168,0,5838,42,16.495538656200683,237.19924926757812,13.534996633329207,0.0640607625246048
1.0,4138.253861104,47.89376425814061,63.85810545938356,0.8730475306510925,16.193090438842773,140,28.914813770000364,648.0830078125,906.0,0.9999999262037731,993.1261596679688,123.97166667098091,0.0009917939496712864,0.0009920379288757583,23520,168,0,5880,42,18.56925261446408,268.96142578125,14.561544488139806,0.05928485468029976
1.0,4167.721739903999,45.29098184903463,80.66556559857868,2.518275499343872,16.176179885864258,141,29.4678787999992,648.0830078125,906.0,0.9999999347187224,2355.946044921875,144.86440333865937,0.0009915402341705711,0.0009917879533419293,23688,168,0,5922,42,24.66141229300272,471.74114990234375,14.926280459965623,0.0650814101099968
1.0,4197.6961539799995,53.3788113395373,91.91720986366272,1.862534761428833,16.1649227142334,142,29.974414076000357,648.0830078125,906.0,0.9999999290420896,1862.09228515625,173.22604056767054,0.0009912826894394704,0.0009915341466459507,23856,168,0,5964,42,26.734171508323577,368.8384094238281,15.813433163444556,0.05298590660095215
1.0,4228.1248946489995,51.552514473597206,78.09101766064053,2.9216854572296143,16.15430450439453,143,30.428740669000035,648.0830078125,906.0,0.9999999489103045,1657.1514892578125,141.72213092304412,0.0009910213174863698,0.0009912765107670581,24024,168,0,6006,42,23.073764974162692,304.93670654296875,14.921659735386216,0.06261735409498215
1.0,4258.551130206,40.218151711282275,62.95405811355228,2.280728340148926,16.138671875,144,30.426235557000837,648.0830078125,906.0,0.9999999361378806,1296.361572265625,118.10655206725711,0.0009907561203494997,0.000991015047714348,24192,168,0,6048,42,19.224649979954673,277.91412353515625,14.36520769655527,0.06488411128520966
1.0,4288.196099291999,44.98413999875387,73.16188716320764,1.1495544910430908,16.128538131713867,145,29.644969085999037,648.0830078125,906.0,0.9999999049164,1118.016357421875,132.86913170133317,0.0009904871000969212,0.0009907497595267615,24360,168,0,6090,42,20.049464571334067,278.80438232421875,14.645923479061041,0.06180433928966522
1.0,4318.110963554,41.52383859384628,72.56889023951122,1.808550477027893,16.113941192626953,146,29.914864262000265,648.0830078125,906.0,0.9999999176888239,1909.3076171875,126.5624646799905,0.000990214258826508,0.0009904806482730697,24528,168,0,6132,42,23.938486147494544,310.05975341796875,13.72417046366969,0.06187381222844124
1.0,4347.120237992,41.265853526336805,60.73009570865404,0.8224099278450012,16.10335922241211,147,29.00927443799992,648.0830078125,906.0,0.9999999134313493,923.1614379882812,114.60182006302334,0.0009899375986659313,0.000990207716051856,24696,168,0,6174,42,17.040976108539674,215.4210662841797,13.891517847776413,0.058157309889793396
1.0,4376.585448829999,43.69025895567167,69.42783250695183,1.5948646068572998,16.092004776000977,148,29.46521083799962,648.0830078125,906.0,0.9999999077547164,1896.93896484375,122.79184247198559,0.0009896571217726427,0.0009899309649915003,24864,168,0,6216,42,21.16004424435752,299.61224365234375,13.756528514126936,0.060081563889980316
1.0,4406.073519301999,40.78994793551309,67.20320048218682,2.5724222660064697,16.07903480529785,149,29.48807047199989,648.0830078125,906.0,0.9999999347187224,1242.0880126953125,121.62887841179257,0.0009893728303338569,0.0009896503972501632,25032,168,0,6258,42,22.031399213132403,248.95095825195312,13.953565567421416,0.064752958714962
1.0,4435.5794650419975,41.523182668856215,69.14035163465,0.7699136137962341,16.07009506225586,150,29.505945739998424,648.0830078125,906.0,0.999999924784615,1997.7747802734375,129.05204151641755,0.000989084726566536,0.0009893660150157686,25200,168,0,6300,42,22.781558212779817,333.26263427734375,14.663198272342838,0.058209918439388275
1.0,4465.861646381998,41.296037933656145,66.49824099881309,1.5634303092956543,16.054903030395508,151,30.282181340000534,648.0830078125,908.0,0.9999999332995642,878.174072265625,123.12120505741665,0.000988792812717371,0.000989077820505986,25368,168,0,6342,42,20.335921855199906,212.32266235351562,14.154874529733899,0.06597979366779327
1.0,4495.403665622,47.052397041093734,75.64383910383496,2.557041883468628,16.0415096282959,152,29.542019240001537,648.0830078125,908.0,0.9999999332995642,2770.821044921875,139.13962583314805,0.0009884970910627646,0.000988785815968214,25536,168,0,6384,42,21.881992399692535,427.7200927734375,14.308888211757655,0.05788393318653107
1.0,4524.948695822999,47.983197586877004,76.18491091047015,2.949275493621826,16.032672882080078,153,29.545030200999463,648.0830078125,908.0,0.999999938976197,1919.7271728515625,141.82308667046684,0.000988197563908814,0.0009884900036795628,25704,168,0,6426,42,23.534679813044413,357.2413330078125,14.827729998333822,0.08158597350120544
1.0,4554.410627191999,44.487619016851696,87.65087865647816,1.9010064601898193,16.018564224243164,154,29.461931369000013,648.0830078125,908.0,0.9999999304612478,2276.864013671875,156.4207280476888,0.0009878942335912917,0.000988190385946836,25872,168,0,6468,42,29.178442349036533,366.13330078125,14.576045424899174,0.05670543760061264
1.0,4583.9594231229985,38.62532679097993,56.61288987029167,0.8474059700965881,16.01214027404785,155,29.548795930999404,648.0830078125,908.0,0.999999924784615,1452.9068603515625,105.43343285435722,0.0009875871024756287,0.0009878869651065133,26040,168,0,6510,42,17.853354042484646,250.42897033691406,12.856022732687139,0.06807584315538406
1.0,4613.427389103999,38.409025802498775,58.677578057561604,1.2621915340423584,16.001636505126953,156,29.467965981000816,648.0830078125,908.0,0.9999999162696657,1722.7757568359375,107.33672526904515,0.0009872761729568954,0.0009875797435247304,26208,168,0,6552,42,17.520343776260102,338.32952880859375,13.297330173353354,0.06760576367378235
1.0,4642.590805577998,39.15135961771011,51.60955446958542,1.5281659364700317,15.99032211303711,157,29.16341647399895,648.0830078125,908.0,0.9999999432336717,724.6388549804688,99.74333915256318,0.0009869614474597819,0.0009872687235972636,26376,168,0,6594,42,15.466700186332067,209.90492248535156,12.603143525620302,0.0513390451669693
1.0,4671.951981953998,45.30746544471809,68.37642303251084,1.0012683868408203,15.976375579833984,158,29.361176376000003,648.0830078125,908.0,0.9999999276229313,1417.3218994140625,122.28990265017464,0.0009866429284385815,0.0009869539077495089,26544,168,0,6636,42,20.602264639877138,198.29449462890625,13.163737857049066,0.05938030779361725
