absolute_error,channel,delta_model,delta_persistence,delta_true,error_l2,ground_truth_available,input,metric_source,model,model_state_metric,persistence_error_l2,persistence_relative_skill,persistence_relative_skill_undefined,reference_domain,relative_error,relative_error_undefined,signed_transport_agreement,source_snapshot,step,target,target_snapshot,transport_cosine,transport_cosine_undefined
[6.25227709993828e-05],vel2,[-9.359747783927143e-05],[0.0],[-3.107470683988863e-05],6.25227709993828e-05,True,[0.0001223024481896433],frozen_rollout_saved_statistics,localno_plain,[2.8704970350371874e-05],3.107470683988863e-05,-1.0120148299879141,False,canonical_oracle,2.012014829987914,False,1.0,93,3,[9.122774134975467e-05],94,1.0,False
[0.00012794463247893257],vel3,[0.0],[0.0],[0.00012794463247893257],0.00012794463247893257,True,[0.0018772311260248226],computed_canonical_persistence,persistence,[0.0018772311260248226],0.00012794463247893257,0.0,False,canonical_oracle,1.0,False,0.0,93,3,[0.002005175758503755],94,,True
[0.0010723708971011833],vel3,[-0.0009444262646222507],[0.0],[0.00012794463247893257],0.0010723708971011833,True,[0.0018772311260248226],stage_l_saved_selected_step_metrics,fno_plain,[0.0009328048614025719],0.00012794463247893257,-7.381523134843194,False,canonical_oracle,8.381523134843194,False,0.0,93,3,[0.002005175758503755],94,-1.0,False
[0.0005821840393151301],vel3,[-0.0004542394068361975],[0.0],[0.00012794463247893257],0.0005821840393151301,True,[0.0018772311260248226],stage_l_saved_selected_step_metrics,fno_full,[0.001422991719188625],0.00012794463247893257,-3.550281071079654,False,canonical_oracle,4.550281071079654,False,0.0,93,3,[0.002005175758503755],94,-1.0,False
[0.0014048687182513196],vel3,[-0.001276924085772387],[0.0],[0.00012794463247893257],0.0014048687182513196,True,[0.0018772311260248226],frozen_rollout_saved_statistics,localno_plain,[0.0006003070402524354],0.00012794463247893257,-9.980286480424617,False,canonical_oracle,10.980286480424617,False,0.0,93,3,[0.002005175758503755],94,-1.0,False
[0.33776171959416534],Bcc1,[0.0],[0.0],[0.33776171959416534],0.33776171959416534,True,[1.142078470663476],computed_canonical_persistence,persistence,[1.142078470663476],0.33776171959416534,0.0,False,canonical_oracle,1.0,False,0.0,94,4,[1.4798401902576412],95,,True
[4.7829734728308025e-05],Bcc2,[0.0],[0.0],[4.7829734728308025e-05],4.7829734728308025e-05,True,[0.00047687543034265244],computed_canonical_persistence,persistence,[0.00047687543034265244],4.7829734728308025e-05,0.0,False,canonical_oracle,1.0,False,0.0,94,4,[0.0005247051650709605],95,,True
[7.754688357754393e-07],Bcc3,[0.0],[0.0],[7.754688357754393e-07],7.754688357754393e-07,True,[1.5210069590093748e-05],computed_canonical_persistence,persistence,[1.5210069590093748e-05],7.754688357754393e-07,0.0,False,canonical_oracle,1.0,False,0.0,94,4,[1.5985538425869188e-05],95,,True
[7.259365577791799],rho,[0.0],[0.0],[-7.259365577791799],7.259365577791799,True,[17.37790744854209],computed_canonical_persistence,persistence,[17.37790744854209],7.259365577791799,0.0,False,canonical_oracle,1.0,False,0.0,94,4,[10.11854187075029],95,,True
[0.02349280088448718],press,[0.0],[0.0],[0.02349280088448718],0.02349280088448718,True,[0.05232260033424071],computed_canonical_persistence,persistence,[0.05232260033424071],0.02349280088448718,0.0,False,canonical_oracle,1.0,False,0.0,94,4,[0.07581540121872789],95,,True
