channel,dynamic_span_ratio,global_std_ratio,global_variance_ratio,high_k_ratio,model,radial_profile_variance_ratio,reference_domain,severe_categories,shell_radial_variance_ratio,shell_std_ratio,step,total_variation_ratio
rho,0.11349897530337087,0.0877223273530002,0.007695206716226925,0.001726433590334272,persistence,0.015527088333976737,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.015527088333976737,"[0.0006438815463923101,0.0006028581698548659,0.9206961481598712,0.8018241400387179,0.9272796073668104,0.94510775893819,1.0151012492347007,0.9956367663517393]",3,0.13715563697635647
rho,0.09641751111727785,0.0791532040008137,0.006265229703594428,0.002800446975331075,persistence,0.011246785971317352,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.011246785971317352,"[0.000575511767021955,0.0006345249927615498,0.7041579938744154,0.7689431721628803,0.8750149410512706,0.9108553532817087,1.0253403025263101,0.9927620326835644]",5,0.12378455434742577
rho,0.13721415654189104,0.09221169662721293,0.008502996994869153,0.0013416162745331773,persistence,0.0217230562372915,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.0217230562372915,"[0.0006826589834175082,0.0005710567228180639,0.6659284840345847,0.6760532197603146,0.6646740576624995,0.8355905075961023,1.0503085758799298,0.9862713719394055]",10,0.12873490363558568
rho,0.12557603094733502,0.0886432761082501,0.007857630399203461,0.0012157498458419055,persistence,0.01901289368953725,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.01901289368953725,"[0.0006680058577240187,0.0004957846305888624,0.5801179767359315,0.5962926191230508,0.6059336317015573,0.6397611223324825,1.0963095109976775,0.9806948182561229]",19,0.11814328040024356
press,0.5618784213835469,0.537120315304256,0.28849823311254336,0.4529331443888785,persistence,0.31330480956190604,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.31330480956190604,"[0.679115490223405,0.06063273772907159,0.5158328602629613,0.9461198652492121,0.9970271733396786,0.9828952728030801,1.0067488601188923,0.9977788809902501]",1,0.5736400245416828
press,0.1307115200144203,0.037781476916745625,0.001427439998010583,0.000730525867142464,persistence,0.0036115994392435457,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.0036115994392435457,"[0.024878563194503198,0.012593149871517785,0.8840870369292712,0.9032942028302597,0.9837362860321425,0.949537214038191,1.0203959561422902,0.99351020319073]",3,0.05778267237742466
press,0.05584527292426168,0.019564991622435284,0.00038278889718596285,0.0003079790371382453,persistence,0.0009414537579868321,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.0009414537579868321,"[0.01285012924865709,0.008622761352909462,0.8578739763932167,0.9851425745871902,0.9493588045479471,0.9174803070229586,1.0341908505768382,0.9894951598013698]",5,0.031107609484975606
press,0.101519414836068,0.015734167680824043,0.00024756403260828795,0.0001072428442463561,persistence,0.000576327174794207,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.000576327174794207,"[0.010286221819736222,0.007335885521027209,0.9357401736861451,0.9947693215598474,0.6336089670005371,0.8426640632358078,1.0684693110822503,0.9810375661907726]",10,0.023466695659279488
press,0.06613953774318329,0.010644659943602528,0.00011330878531493619,4.815919821095498e-05,persistence,0.00023546297588923775,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.00023546297588923775,"[0.006974812855050073,0.005058724828069466,0.7509531521367924,0.9066396104170653,0.6832705252054027,0.5381076053849345,1.1456976550557743,0.9773754372415258]",19,0.015889840973328594
vel1,0.9953466335926978,1.0008903646937766,1.0017815221368411,1.0500873874579122,persistence,1.1456827602694368,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.91993709515721,"[0.9852502977256952,1.100997968100449,0.8433327130862203,0.9239309999746059,0.9504475813677585,0.9555613707270629,0.9626924000368119,0.9771394396455257]",1,0.9573021861089368
