record_type,split,channel,stage,scope,index,shell,gamma_mode,paper_canonical,metric,value
snapshot_clamp,train,Bcc1,,,60,,,True,snapshot_index,60
snapshot_clamp,train,Bcc1,,,60,,,True,time,600.0000511464063
snapshot_clamp,train,Bcc1,,,60,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,60,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,60,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,60,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,61,,,True,snapshot_index,61
snapshot_clamp,train,Bcc1,,,61,,,True,time,610.0007102124433
snapshot_clamp,train,Bcc1,,,61,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,61,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,61,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,61,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,62,,,True,snapshot_index,62
snapshot_clamp,train,Bcc1,,,62,,,True,time,620.0013692784803
snapshot_clamp,train,Bcc1,,,62,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,62,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,62,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,62,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,63,,,True,snapshot_index,63
snapshot_clamp,train,Bcc1,,,63,,,True,time,630.0002332163417
snapshot_clamp,train,Bcc1,,,63,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,63,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,63,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,63,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,64,,,True,snapshot_index,64
snapshot_clamp,train,Bcc1,,,64,,,True,time,640.0008922823787
snapshot_clamp,train,Bcc1,,,64,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,64,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,64,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,64,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,65,,,True,snapshot_index,65
snapshot_clamp,train,Bcc1,,,65,,,True,time,650.0015513484157
snapshot_clamp,train,Bcc1,,,65,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,65,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,65,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,65,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,66,,,True,snapshot_index,66
snapshot_clamp,train,Bcc1,,,66,,,True,time,660.0004152862771
snapshot_clamp,train,Bcc1,,,66,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,66,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,66,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,66,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,67,,,True,snapshot_index,67
snapshot_clamp,train,Bcc1,,,67,,,True,time,670.001074352314
