channel,display_name,radial_index,region,sample_count,skill_mean,skill_median,variant
press,W1,26,middle,42,-1.0204617123703077,0.12617666645787623,mixed_basis
press,W1,27,middle,42,-0.4682488247150309,0.1404827872743059,mixed_basis
press,W1,28,middle,42,-3.2340018514689115,0.1117059519170947,mixed_basis
press,W1,29,middle,42,-0.2127391102190758,0.14686385508368605,mixed_basis
press,W1,30,middle,42,0.06562073200805336,0.2229970541377595,mixed_basis
press,W1,31,middle,42,0.21497892667868815,0.32209996728673396,mixed_basis
press,W1,32,middle,42,-1.1210095911002635,0.28959365197539205,mixed_basis
press,W1,33,middle,42,-1.1761685915281983,0.1462659660699252,mixed_basis
press,W1,34,middle,42,-1.4520349884205923,0.22491463952530089,mixed_basis
press,W1,35,middle,42,0.1250785560892839,0.18355558028792196,mixed_basis
press,W1,36,middle,42,-0.15903058335805167,0.05146844432640468,mixed_basis
press,W1,37,middle,42,0.0031709259337163015,-0.015729522347221914,mixed_basis
press,W1,38,middle,42,-0.21153480093713595,0.0007783538507161181,mixed_basis
press,W1,39,middle,42,-0.952801792071901,-0.016127285635673783,mixed_basis
press,W1,40,middle,42,-0.31270344062644184,0.01677273644757088,mixed_basis
press,W1,41,middle,42,-0.8059515558112434,0.029032402254869416,mixed_basis
press,W1,42,outer,42,-1.4511126667705927,-0.08753946957295988,mixed_basis
press,W1,43,outer,42,-0.297385499994929,-0.23365882050271447,mixed_basis
press,W1,44,outer,42,-0.42717212503906976,-0.30602646273664846,mixed_basis
press,W1,45,outer,42,-0.5116552881850214,-0.4084071223399457,mixed_basis
press,W1,46,outer,42,-0.5053972695688888,-0.4348682492569438,mixed_basis
press,W1,47,outer,42,-0.5188193834397258,-0.2656558337033874,mixed_basis
press,W1,48,outer,42,-2.0630887893312684,-1.1323258268408989,mixed_basis
press,W1,49,outer,42,-0.4609247801237219,-0.49270026991880256,mixed_basis
press,W1,50,outer,42,-8.541082330689465,-0.8500625337803387,mixed_basis
